,Brand,Generic,Uses
677,certavite-antioxidant,Multivit-Min/Ferrous Gluconate,"This medication is a multivitamin product used to treat or prevent vitamin deficiency due to poor diet, certain illnesses, or during pregnancy. Vitamins are important building blocks of the body and help keep you in good health."
678,cervidil,Dinoprostone,This medication is used to help prepare your cervix (the lower opening of the womb) for labor and delivery. It is used in women who are having a normal pregnancy and who are at or near their delivery due date. Dinoprostone is a natural substance that your body makes in preparation for labor. It relaxes and softens your cervix (cervical ripening) to allow the baby to pass through the birth canal during delivery.
679,cetaphil,Emollient Combination No.40,"This medication is used as a moisturizer to treat or prevent dry, rough, scaly, itchy skin and minor skin irritations (e.g., diaper rash, skin burns from radiation therapy). Emollients are substances that soften and moisturize the skin and decrease itching and flaking. Some products (e.g., zinc oxide, white petrolatum) are used mostly to protect the skin against irritation (e.g., from wetness). Dry skin is caused by a loss of water in the upper layer of the skin. Emollients/moisturizers work by forming an oily layer on the top of the skin that traps water in the skin. Petrolatum, lanolin, mineral oil and dimethicone are common emollients. Humectants, including glycerin, lecithin, and propylene glycol, draw water into the outer layer of skin. Many products also have ingredients that soften the horny substance (keratin) that holds the top layer of skin cells together (including urea, alpha hydroxy acids such as lactic/citric/glycolic acid, and allantoin). This helps the dead skin cells fall off, helps the skin keep in more water, and leaves the skin feeling smoother and softer."
680,cetaphil dermacontrol,Avobenzone/Octocryl/Octyl Sal,"Sunscreens are used to protect the skin from the harmful effects of the sun. They help to prevent sunburn and premature aging (such as wrinkles, leathery skin). Sunscreens also help to decrease the risk of skin cancer and also of sunburn-like skin reactions (sun sensitivity) caused by some medications (including tetracyclines, sulfa drugs, phenothiazines such as chlorpromazine). The active ingredients in sunscreens work either by absorbing the sun's ultraviolet (UV) radiation, preventing it from reaching the deeper layers of the skin, or by reflecting the radiation. Wearing sunscreen does not mean that you can stay out longer in the sun. Sunscreens cannot protect against all of the sun's radiation. There are various types of sunscreens available in many forms (e.g., cream, lotion, gel, stick, spray, lip balm). See the Notes section for information about selecting a sunscreen."
681,cetaphil restoraderm,Emollient Combination No.62,"This medication is used as a moisturizer to treat or prevent dry, rough, scaly, itchy skin and minor skin irritations (e.g., diaper rash, skin burns from radiation therapy). Emollients are substances that soften and moisturize the skin and decrease itching and flaking. Some products (e.g., zinc oxide, white petrolatum) are used mostly to protect the skin against irritation (e.g., from wetness). Dry skin is caused by a loss of water in the upper layer of the skin. Emollients/moisturizers work by forming an oily layer on the top of the skin that traps water in the skin. Petrolatum, lanolin, mineral oil and dimethicone are common emollients. Humectants, including glycerin, lecithin, and propylene glycol, draw water into the outer layer of skin. Many products also have ingredients that soften the horny substance (keratin) that holds the top layer of skin cells together (including urea, alpha hydroxy acids such as lactic/citric/glycolic acid, and allantoin). This helps the dead skin cells fall off, helps the skin keep in more water, and leaves the skin feeling smoother and softer."
682,cetirizine hcl,Cetirizine HCl,"Cetirizine is an antihistamine used to relieve allergy symptoms such as watery eyes, runny nose, itching eyes/nose, sneezing, hives, and itching. It works by blocking a certain natural substance (histamine) that your body makes during an allergic reaction. Cetirizine does not prevent hives or prevent/treat a serious allergic reaction (such as anaphylaxis). Therefore, if your doctor has prescribed epinephrine to treat allergic reactions, always carry your epinephrine injector with you. Do not use cetirizine in place of your epinephrine."
683,cevimeline hcl,Cevimeline HCl,"This medication is used to treat symptoms of dry mouth due to a certain immune disease (Sjogren's syndrome). Cevimeline belongs to a class of drugs known as cholinergic agonists. It works by stimulating certain nerves to increase the amount of saliva you produce, making it easier and more comfortable to speak and swallow."
684,chantix,Varenicline Tartrate,"Varenicline is used by adults to help stop smoking. To increase your chance of success, use this medication with a stop-smoking program that includes education, support, and counseling. Quitting smoking lowers your risk of heart and lung disease, as well as cancer. Varenicline works by blocking nicotine's effects in the brain that make you want to smoke. Discuss the risks and benefits of this medication, as well as other ways to quit smoking (such as nicotine replacement treatment), with your doctor."
685,charlotte 24 fe,Norethindrone-E.Estradiol-Iron,"This combination hormone medication is used to prevent pregnancy. It contains 2 hormones: norethindrone (a progestin) and ethinyl estradiol (an estrogen). It works mainly by preventing the release of an egg (ovulation) during your menstrual cycle. It also makes vaginal fluid thicker to help prevent sperm from reaching an egg (fertilization) and changes the lining of the uterus (womb) to prevent attachment of a fertilized egg. If a fertilized egg does not attach to the uterus, it passes out of the body. There is a small amount of iron (ferrous fumarate) in each of the 4 inactive pills taken during the fourth week. The inactive pills do not contain any hormones. These pills are meant to keep you in the habit of taking 1 pill each day and do not have enough iron to treat iron deficiency. Besides preventing pregnancy, birth control pills may make your periods more regular, decrease blood loss and painful periods, decrease your risk of ovarian cysts, and also treat acne. Using this medication does not protect you or your partner against sexually transmitted diseases (such as HIV, gonorrhea, chlamydia)."
686,chateal,Levonorgestrel/Ethin.Estradiol,"This combination hormone medication is used to prevent pregnancy. It contains 2 hormones: a progestin and an estrogen. It works mainly by preventing the release of an egg (ovulation) during your menstrual cycle. It also makes vaginal fluid thicker to help prevent sperm from reaching an egg (fertilization) and changes the lining of the uterus (womb) to prevent attachment of a fertilized egg. If a fertilized egg does not attach to the uterus, it passes out of the body. Besides preventing pregnancy, birth control pills may make your periods more regular, decrease blood loss and painful periods, decrease your risk of ovarian cysts, and also treat acne. Using this medication does not protect you or your partner against sexually transmitted diseases (such as HIV, gonorrhea, chlamydia)."
687,chateal eq,Levonorgestrel/Ethin.Estradiol,"This combination hormone medication is used to prevent pregnancy. It contains 2 hormones: a progestin and an estrogen. It works mainly by preventing the release of an egg (ovulation) during your menstrual cycle. It also makes vaginal fluid thicker to help prevent sperm from reaching an egg (fertilization) and changes the lining of the uterus (womb) to prevent attachment of a fertilized egg. If a fertilized egg does not attach to the uterus, it passes out of the body. Besides preventing pregnancy, birth control pills may make your periods more regular, decrease blood loss and painful periods, decrease your risk of ovarian cysts, and also treat acne. Using this medication does not protect you or your partner against sexually transmitted diseases (such as HIV, gonorrhea, chlamydia)."
688,chemet,Succimer,This medication is used to treat lead poisoning. It works by binding to the lead so that it may be removed by your kidneys. Removing lead from your body will lower the chance of severe problems caused by lead poisoning.
689,chenodal,Chenodiol,"Chenodiol is used to dissolve certain types of gallstones (non-calcified). Chenodiol is a bile acid. Chenodiol may be tried before surgery in patients that are at high risk of complications from gallstone surgery. If the gallstones do not dissolve, emergency surgery may still be needed."
690,cherry syrup,Cherry Flavor,Drug uses not available
691,chewable-vite,Multivitamin,"This medication is a multivitamin product used to treat or prevent vitamin deficiency due to poor diet, certain illnesses, or during pregnancy. Vitamins are important building blocks of the body and help keep you in good health."
692,chewable-vite with iron,Multivitamin With Iron,"This medication is a multivitamin product used to treat or prevent vitamin deficiency due to poor diet, certain illnesses, or during pregnancy. Vitamins are important building blocks of the body and help keep you in good health."
693,child chew + iron,Multivitamin With Iron,"This medication is a multivitamin product used to treat or prevent vitamin deficiency due to poor diet, certain illnesses, or during pregnancy. Vitamins are important building blocks of the body and help keep you in good health."
694,children's cetirizine hcl,Cetirizine HCl,"Cetirizine is an antihistamine used to relieve allergy symptoms such as watery eyes, runny nose, itching eyes/nose, sneezing, hives, and itching. It works by blocking a certain natural substance (histamine) that your body makes during an allergic reaction. Cetirizine does not prevent hives or prevent/treat a serious allergic reaction (such as anaphylaxis). Therefore, if your doctor has prescribed epinephrine to treat allergic reactions, always carry your epinephrine injector with you. Do not use cetirizine in place of your epinephrine."
695,children's chew multivit-iron,Pedi Multivit No.91/Iron Fum,"This medication is a multivitamin and iron product used to treat or prevent vitamin deficiency due to poor diet, certain illnesses, or during pregnancy. Vitamins and iron are important building blocks of the body and help keep you in good health."
696,children's chewable,Pedi Multivit No.31/Iron/Folic,"This medication is a multivitamin and iron product used to treat or prevent vitamin deficiency due to poor diet, certain illnesses, or during pregnancy. Vitamins and iron are important building blocks of the body and help keep you in good health."
697,children's chewable multivitmn,Pedi Multivit No.25/Folic Acid,"This medication is a multivitamin product used to treat or prevent vitamin deficiency due to poor diet, certain illnesses, or during pregnancy. Vitamins are important building blocks of the body and help keep you in good health."
698,children's chewables,Pedi Multivit No.25/Folic Acid,"This medication is a multivitamin product used to treat or prevent vitamin deficiency due to poor diet, certain illnesses, or during pregnancy. Vitamins are important building blocks of the body and help keep you in good health."
699,children's ferrous sulfate,Ferrous Sulfate,This medication is an iron supplement used to treat or prevent low blood levels of iron (such as those caused by anemia or pregnancy). Iron is an important mineral that the body needs to produce red blood cells and keep you in good health.
700,children's iron,Ferrous Sulfate,This medication is an iron supplement used to treat or prevent low blood levels of iron (such as those caused by anemia or pregnancy). Iron is an important mineral that the body needs to produce red blood cells and keep you in good health.
701,chloramphenicol sod succinate,Chloramphenicol Sod Succinate,Drug uses not available
702,chlordiazepoxide hcl,Chlordiazepoxide HCl,Chlordiazepoxide is used to treat anxiety and acute alcohol withdrawal. It is also used to relieve fear and anxiety before surgery. This medication belongs to a class of drugs called benzodiazepines which act on the brain and nerves (central nervous system) to produce a calming effect. It works by enhancing the effects of a certain natural chemical in the body (GABA).
703,chlordiazepoxide-amitriptyline,Amitriptyline/Chlordiazepoxide,"This product contains 2 medicines (amitriptyline, chlordiazepoxide) and is used to treat mental/mood disorders such as depression with symptoms of anxiety. Amitriptyline belongs to a class of medications called tricyclic antidepressants. It may help improve mood and feelings of well-being, relieve anxiety and tension, and help you sleep better. It works by affecting the balance of certain natural chemicals (neurotransmitters such as serotonin) in the brain. Chlordiazepoxide helps to reduce anxiety. It acts on the brain and nerves to produce a calming effect. It belongs to a class of drugs known as benzodiazepines."
704,chlordiazepoxide-clidinium,Chlordiazepoxide/Clidinium Br,"This medication is a combination of 2 drugs, clidinium and chlordiazepoxide. It is used along with other medications to help treat stomach/intestinal disorders (such as ulcers, irritable bowel syndrome, bowel infections). Clidinium helps to reduce the symptoms of stomach and intestinal cramping. It works by slowing the natural movements of the gut and by relaxing the muscles in the stomach and intestines. Clidinium belongs to a class of drugs known as anticholinergics/antispasmodics. Chlordiazepoxide helps to reduce anxiety. It acts on the brain and nerves to produce a calming effect. It belongs to a class of drugs known as benzodiazepines."
705,chlorhexidine gluconate,Chlorhexidine Gluconate,"This medication is used along with regular tooth brushing/flossing to treat gingivitis, a gum disease that causes red, swollen, and easily bleeding gums. Chlorhexidine belongs to a class of drugs known as antimicrobials. It works by decreasing the amount of bacteria in the mouth, helping to reduce swelling and redness of the gums and bleeding when you brush."
706,chloroprocaine hcl,Chloroprocaine HCl/PF,Drug uses not available
707,chloroquine phosphate,Chloroquine Phosphate,"Chloroquine is used to prevent or treat malaria caused by mosquito bites. Chloroquine belongs to a class of drugs known as antimalarials. The United States Centers for Disease Control provide updated guidelines and travel recommendations for the prevention and treatment of malaria in different parts of the world. Discuss the most recent information with your doctor before traveling to areas where malaria occurs. Chloroquine is also used to treat infection caused by a different type of parasite (ameba). Chloroquine is not recommended for coronavirus infection, also known as COVID-19, unless you are enrolled in a study. Talk to your doctor about the risks and benefits."
708,chlorothiazide,Chlorothiazide,"This medication is used to treat high blood pressure. Lowering high blood pressure helps prevent strokes, heart attacks, and kidney problems. Chlorothiazide is a ""water pill"" (diuretic) that causes you to make more urine. This helps your body get rid of extra salt and water. This medication is also used to decrease swelling (edema) caused by conditions such as cancer, congestive heart failure, liver disease, and kidney disease. This effect can help your kidneys work better and lessen symptoms such as trouble breathing and swelling in your ankles, feet, hands, or belly."
709,chlorothiazide sodium,Chlorothiazide Sodium,Drug uses not available
710,chlorpromazine hcl*,Chlorpromazine HCl,"This medication is used to treat certain mental/mood disorders (such as schizophrenia, psychotic disorders, manic phase of bipolar disorder, severe behavioral problems in children). Chlorpromazine helps you to think more clearly, feel less nervous, and take part in everyday life. It can reduce aggressive behavior and the desire to hurt yourself/others. It may also help to decrease hallucinations (hearing/seeing things that are not there). Chlorpromazine is a psychiatric medication that belongs to the class of drugs called phenothiazine antipsychotics. It works by helping to restore the balance of certain natural substances in the brain. Chlorpromazine is also used to control nausea/vomiting, relieve prolonged hiccups, relieve restlessness/anxiety before surgery, and help treat tetanus."
711,chlorthalidone,Chlorthalidone,"Chlorthalidone is used to treat high blood pressure (hypertension). Lowering high blood pressure helps prevent strokes, heart attacks, and kidney problems. It is also used to reduce extra salt and water in the body caused by conditions such as heart failure, liver disease, and kidney disease. Decreasing extra salt and water in the body helps to decrease swelling (edema) and breathing problems caused by fluid in the lungs. Chlorthalidone is a ""water pill"" (diuretic). It increases the amount of urine you make, especially when you first start the medication. It also helps to relax the blood vessels so that blood can flow more easily."
712,chlorzoxazone,Chlorzoxazone,"Chlorzoxazone is used to treat muscle spasms/pain. It is usually used along with rest, physical therapy, and other treatment. It works by helping to relax the muscles."
713,cholbam,Cholic Acid,Drug uses not available
714,cholestyramine,Cholestyramine (With Sugar),"Cholestyramine is used along with a proper diet to lower cholesterol in the blood. Lowering cholesterol helps decrease the risk for strokes and heart attacks. In addition to a proper diet (such as a low-cholesterol/low-fat diet), other lifestyle changes that may help this medication work better include exercising, losing weight if overweight, and stopping smoking. Consult your doctor for more details. Cholestyramine may also be used to treat itching in people with too much bile acid caused by a certain type of liver/bile duct disease (partial biliary obstruction). This medication is known as a bile acid-binding resin. It works by removing bile acid from the body. In people with high cholesterol, this causes the liver to make more bile acid by using cholesterol in the blood. This helps to lower the cholesterol levels."
715,cholestyramine light,Cholestyramine/Aspartame,"Cholestyramine is used along with a proper diet to lower cholesterol in the blood. Lowering cholesterol helps decrease the risk for strokes and heart attacks. In addition to a proper diet (such as a low-cholesterol/low-fat diet), other lifestyle changes that may help this medication work better include exercising, losing weight if overweight, and stopping smoking. Consult your doctor for more details. Cholestyramine may also be used to treat itching in people with too much bile acid caused by a certain type of liver/bile duct disease (partial biliary obstruction). This medication is known as a bile acid-binding resin. It works by removing bile acid from the body. In people with high cholesterol, this causes the liver to make more bile acid by using cholesterol in the blood. This helps to lower the cholesterol levels."
716,chorionic gonadotropin,"Chorionic Gonadotropin, Human","This medication is a hormone used in boys (before puberty) to cause the normal dropping of the testicles into the scrotum. It is also used in certain boys to help with normal sexual development. It works by causing the testes to release male sex hormones (e.g., testosterone). This medication is also used in women to treat fertility problems. It is given after finishing another medication (menotropins) to cause the release of an egg (ovulation). It should not be used in women whose ovaries no longer make eggs properly (primary ovarian failure). This medication has not been shown to be effective for weight loss and should not be used for this purpose due to risk of serious side effects."
717,chromagen,Iron/C/Folate 6/B12/Zn/Stomach,"This medication is a multivitamin and iron product used to treat or prevent vitamin deficiency due to poor diet, certain illnesses, or during pregnancy. Vitamins and iron are important building blocks of the body and help keep you in good health."
718,chromium,Chromic Chloride,Drug uses not available
719,cialis,Tadalafil,"Tadalafil is used to treat male sexual function problems (impotence or erectile dysfunction-ED). In combination with sexual stimulation, tadalafil works by increasing blood flow to the penis to help a man get and keep an erection. Tadalafil is also used to treat the symptoms of an enlarged prostate (benign prostatic hyperplasia-BPH). It helps to relieve symptoms of BPH such as difficulty in beginning the flow of urine, weak stream, and the need to urinate frequently or urgently (including during the middle of the night). Tadalafil is thought to work by relaxing the smooth muscle in the prostate and bladder. This drug does not protect against sexually transmitted diseases (such as HIV, hepatitis B, gonorrhea, syphilis). Practice ""safe sex"" such as using latex condoms. Consult your doctor or pharmacist for more details."
720,ciclodan,Ciclopirox,"This medication is used to treat fungal infections of the fingernails and toenails. It is used as part of a treatment program that includes the removal of unattached, infected nails by a health care professional as frequently as once a month. Ciclopirox works by stopping the growth of fungus."
721,ciclopirox,Ciclopirox,"This medication is used to treat fungal infections of the fingernails and toenails. It is used as part of a treatment program that includes the removal of unattached, infected nails by a health care professional as frequently as once a month. Ciclopirox works by stopping the growth of fungus."
722,cidofovir,Cidofovir,"This drug is used with probenecid to treat a certain viral eye infection (retinitis due to cytomegalovirus-CMV) in people with AIDS. It lowers your risk of blindness and other vision problems. Cidofovir belongs to a class of drugs known as antivirals. It works by stopping the growth of the virus. Cidofovir is not a cure for CMV retinitis, and your disease may still worsen during and after treatment."
723,cilostazol,Cilostazol,Cilostazol is used to improve the symptoms of a certain blood flow problem in the legs (intermittent claudication). Cilostazol can decrease the muscle pain/cramps that occur during exercise/walking. Claudication pain is caused by too little oxygen getting to the muscles. Cilostazol can increase blood flow and the amount of oxygen that gets to the muscles. Cilostazol is an antiplatelet drug and a vasodilator. It works by stopping blood cells called platelets from sticking together and prevents them from forming harmful clots. It also widens blood vessels in the legs. Cilostazol helps the blood to move more easily and keeps blood flowing smoothly in your body.
724,ciloxan,Ciprofloxacin HCl,This medication is used to treat eye infections. Ciprofloxacin belongs to a class of drugs called quinolone antibiotics. It works by stopping the growth of bacteria. This medication treats only bacterial eye infections. It will not work for other types of eye infections. Unnecessary use or overuse of any antibiotic can lead to its decreased effectiveness.
725,cimduo,Lamivudine/Tenofovir Disop Fum,"This combination product is used with other HIV medications to help control HIV infection. It helps to decrease the amount of HIV in your body so your immune system can work better. This lowers your chance of getting HIV complications (such as new infections, cancer) and improves your quality of life. This product is a combination of 2 different drugs: lamivudine and tenofovir. Lamivudine is called a nucleoside reverse transcriptase inhibitor and tenofovir is called a nucleotide reverse transcriptase inhibitor. Lamivudine and tenofovir are often called NRTIs. Lamivudine/tenofovir is not a cure for HIV infection. To decrease your risk of spreading HIV disease to others, continue to take all HIV medications exactly as prescribed by your doctor. Use an effective barrier method (latex or polyurethane condoms/dental dams) during sexual activity as directed by your doctor. Do not share personal items (such as needles/syringes, toothbrushes, and razors) that may have contacted blood or other body fluids. Consult your doctor or pharmacist for more details."
726,cimetidine,Cimetidine,"Cimetidine is used to treat ulcers of the stomach and intestines and prevent them from coming back after they have healed. This medication is also used to treat certain stomach and throat (esophagus) problems caused by too much stomach acid (e.g., Zollinger-Ellison syndrome, erosive esophagitis) or a backward flow of stomach acid into the esophagus (acid reflux disease/GERD). Decreasing extra stomach acid can help relieve symptoms such as stomach pain, heartburn, difficulty swallowing, persistent cough, and trouble sleeping. It can also prevent serious acid damage to your digestive system (e.g., ulcers, cancer of the esophagus). Cimetidine belongs to a class of drugs commonly called H2 blockers. It works by reducing the amount of acid in your stomach. This medication is also available without a prescription. It is used to treat occasional heartburn caused by too much acid in the stomach (also called acid indigestion or sour stomach). It is also used to prevent heartburn and acid indigestion caused by certain foods and beverages. If you are taking this medication for self-treatment, it is important to read the manufacturer's package instructions carefully so you know when to consult your doctor or pharmacist. (See also Precautions.)"
727,cimzia,Certolizumab PEGol,"This medication is used to reduce pain and swelling due to certain inflammatory conditions (such as rheumatoid arthritis, psoriatic arthritis, ankylosing spondylitis, plaque psoriasis). Some brands may also be used to treat a certain type of spine condition (axial spondyloarthritis) or a certain bowel condition (Crohn's disease). Certolizumab belongs to a class of drugs known as tumor necrosis factor (TNF) blockers. It works by blocking TNF, a substance made by the body that causes inflammation."
728,cinacalcet hcl,Cinacalcet HCl,"Cinacalcet is used to treat increased amounts of a certain hormone (parathyroid) in people with long-term kidney disease who are on dialysis. It is also used to treat increased amounts of calcium in people with an overactive parathyroid gland or in people with cancer of the parathyroid gland. Cinacalcet works by decreasing the amount of parathyroid hormone, calcium, and phosphorus in your body. Having the right amount of these substances in your body helps to prevent bone disease."
729,cinqair,Reslizumab,"This medication is used along with other medications to control and prevent symptoms (such as wheezing and shortness of breath) caused by asthma. Controlling symptoms of asthma helps you do your normal activities and decreases time lost from work or school. Reslizumab belongs to a class of drugs known as monoclonal antibodies. It works by reducing swelling (inflammation) of the airways in the lungs to make breathing easier. This medication must be used regularly to be effective. It does not work right away and should not be used to relieve sudden asthma attacks or breathing problems. If an asthma attack occurs, use your quick-relief inhaler as prescribed."
730,cinryze,C1 Esterase Inhibitor,"This medication is used to help prevent swelling problems that occur with a certain immune disease passed down through families (hereditary angioedema-HAE). HAE is caused by low levels or improper function of a natural substance produced by the body (C1-inhibitor). Symptoms such as rapid swelling of the hands, feet, limbs, face, tongue, or throat can occur. Swelling of the intestinal tract may cause symptoms such as abdominal cramps, diarrhea, or vomiting. Attacks of swelling may occur without reason. However, anxiety, stress, sickness, and surgery may trigger attacks in some people. This medication increases the level of C1-inhibitor to help prevent attacks of sudden swelling due to hereditary angioedema."
731,cinvanti,Aprepitant,Aprepitant is used with other medications to help prevent nausea and vomiting caused by cancer drug treatment (chemotherapy). It works by blocking one of the body's natural substances (substance P/neurokinin 1) that causes vomiting.
732,cipro,Ciprofloxacin,"This medication is used to treat a variety of bacterial infections. Ciprofloxacin belongs to a class of drugs called quinolone antibiotics. It works by stopping the growth of bacteria. This antibiotic treats only bacterial infections. It will not work for virus infections (such as common cold, flu). Using any antibiotic when it is not needed can cause it to not work for future infections."
733,cipro hc,Ciprofloxacin/Hydrocortisone,This medication is used to treat bacterial ear infections. It is used to treat outer ear infections (also known as swimmer's ear) in children and adults. This medication contains a combination of ciprofloxacin (a quinolone-type antibiotic) and hydrocortisone (an anti-inflammatory corticosteroid). This ear drop works by stopping the growth of bacteria and reducing ear swelling and discomfort. This medication treats only bacterial ear infections. It will not work for other types of ear infections. Unnecessary use or overuse of any antibiotic can lead to its decreased effectiveness.
734,cipro i.v.,Ciprofloxacin In 5 % Dextrose,This medication is used to treat a variety of bacterial infections. Ciprofloxacin belongs to a class of drugs called quinolone antibiotics. It works by stopping the growth of bacteria.
735,ciprodex,Ciprofloxacin HCl/Dexameth,"This medication is used to treat bacterial ear infections. It is used to treat middle ear infections in children with ear tubes, as well as outer ear infections (also known as swimmer's ear) in children and adults. This medication contains a combination of ciprofloxacin (a quinolone-type antibiotic) and dexamethasone (an anti-inflammatory corticosteroid). This ear drop works by stopping the growth of bacteria and reducing ear swelling and discomfort. This medication treats only bacterial ear infections. It will not work for other types of ear infections. Unnecessary use or overuse of any antibiotic can lead to its decreased effectiveness."
736,ciprofloxacin,Ciprofloxacin,"This medication is used to treat a variety of bacterial infections. Ciprofloxacin belongs to a class of drugs called quinolone antibiotics. It works by stopping the growth of bacteria. This antibiotic treats only bacterial infections. It will not work for virus infections (such as common cold, flu). Using any antibiotic when it is not needed can cause it to not work for future infections."
737,ciprofloxacin hcl*,Ciprofloxacin HCl,"This medication is used to treat a variety of bacterial infections. Ciprofloxacin belongs to a class of drugs called quinolone antibiotics. It works by stopping the growth of bacteria. This antibiotic treats only bacterial infections. It will not work for virus infections (such as common cold, flu). Using any antibiotic when it is not needed can cause it to not work for future infections."
738,ciprofloxacin hcl-fluocinolone,Ciprofloxacin HCl/Fluocinolone,This medication is used to treat ear infections for children who have a tube in their ears. This medication contains ciprofloxacin (a quinolone antibiotic) and fluocinolone (a corticosteroid). This product works by stopping the growth of bacteria and reducing ear inflammation and discomfort. This medication treats only bacterial ear infections. It will not work for other types of ear infections. Using any antibiotic when it is not needed can cause it to not work for future infections.
739,ciprofloxacin-d5w,Ciprofloxacin In 5 % Dextrose,This medication is used to treat a variety of bacterial infections. Ciprofloxacin belongs to a class of drugs called quinolone antibiotics. It works by stopping the growth of bacteria.
740,ciprofloxacin-dexamethasone,Ciprofloxacin HCl/Dexameth,"This medication is used to treat bacterial ear infections. It is used to treat middle ear infections in children with ear tubes, as well as outer ear infections (also known as swimmer's ear) in children and adults. This medication contains a combination of ciprofloxacin (a quinolone-type antibiotic) and dexamethasone (an anti-inflammatory corticosteroid). This ear drop works by stopping the growth of bacteria and reducing ear swelling and discomfort. This medication treats only bacterial ear infections. It will not work for other types of ear infections. Unnecessary use or overuse of any antibiotic can lead to its decreased effectiveness."
741,cisatracurium besylate,Cisatracurium Besylate,Drug uses not available
742,cisplatin,Cisplatin,Cisplatin is used to treat various types of cancer. It is a chemotherapy drug that contains platinum. It is used to slow or stop cancer cell growth.
743,citalopram hbr,Citalopram Hydrobromide,Citalopram is used to treat depression. It may improve your energy level and feelings of well-being. Citalopram is known as a selective serotonin reuptake inhibitor (SSRI). This medication works by helping to restore the balance of a certain natural substance (serotonin) in the brain.
744,citranatal b-calm,Prenatal 48/Iron/Folic Acid/B6,"This medication is a multivitamin and iron product used to treat or prevent vitamin deficiency due to poor diet, certain illnesses, or during pregnancy. Vitamins and iron are important building blocks of the body and help keep you in good health."
745,citrucel,Methylcellulose,"This medication is used to treat constipation. It increases the bulk in your stool, an effect that helps to cause movement of the intestines. It also works by increasing the amount of water in the stool, making the stool softer and easier to pass. Psyllium, one type of bulk-forming laxative, has also been used along with a proper diet to treat high cholesterol."
746,citrus calcium + d,Calcium Citrate/Vitamin D3,"This combination medication is used to prevent or treat low blood calcium levels in people who do not get enough calcium from their diets. It may be used to treat conditions caused by low calcium levels such as bone loss (osteoporosis), weak bones (osteomalacia/rickets), decreased activity of the parathyroid gland (hypoparathyroidism), and a certain muscle disease (latent tetany). It may also be used in certain patients to make sure they are getting enough calcium (including women who are pregnant, nursing, or postmenopausal, people taking certain medications such as phenytoin, phenobarbital, or prednisone). Calcium plays a very important role in the body. It is necessary for normal functioning of nerves, cells, muscle, and bone. If there is not enough calcium in the blood, then the body will take calcium from bones, thereby weakening bones. Vitamin D helps your body absorb calcium and phosphorus. Having the right amounts of vitamin D, calcium, and phosphorus is important for building and keeping strong bones."
747,citrus calcium-vitamin d3,Calcium Citrate/Vitamin D3,"This combination medication is used to prevent or treat low blood calcium levels in people who do not get enough calcium from their diets. It may be used to treat conditions caused by low calcium levels such as bone loss (osteoporosis), weak bones (osteomalacia/rickets), decreased activity of the parathyroid gland (hypoparathyroidism), and a certain muscle disease (latent tetany). It may also be used in certain patients to make sure they are getting enough calcium (including women who are pregnant, nursing, or postmenopausal, people taking certain medications such as phenytoin, phenobarbital, or prednisone). Calcium plays a very important role in the body. It is necessary for normal functioning of nerves, cells, muscle, and bone. If there is not enough calcium in the blood, then the body will take calcium from bones, thereby weakening bones. Vitamin D helps your body absorb calcium and phosphorus. Having the right amounts of vitamin D, calcium, and phosphorus is important for building and keeping strong bones."
748,cladribine,Cladribine,Cladribine is used to treat a certain type of cancer (hairy cell leukemia). It works by stopping the growth of cancer cells.
749,claforan,Cefotaxime Sodium,Cefotaxime is used to treat a wide variety of bacterial infections. It may also be used to prevent infection from certain surgeries. This medication belongs to a class of drugs known as cephalosporin antibiotics. It works by stopping the growth of bacteria.
750,claravis,Isotretinoin,"This medication is used to treat severe cystic acne (also known as nodular acne) that has not responded to other treatment (e.g., benzoyl peroxide or clindamycin applied to the skin or tetracycline or minocycline taken by mouth). It belongs to a class of drugs known as retinoids. It works by decreasing facial oil (sebum) production. High amounts of sebum can lead to severe acne. If left untreated, severe acne may cause permanent scarring."
751,clarinex,Desloratadine,"Desloratadine is an antihistamine used to relieve allergy symptoms such as watery eyes, runny nose, itching eyes/nose, sneezing, hives, and itching. It works by blocking a certain natural substance (histamine) that your body makes during an allergic reaction."
752,clarinex-d 12 hour,Desloratadine/Pseudoephedrine,"This medication is used to relieve allergy symptoms such as watery eyes, runny/stuffy nose, itching eyes/nose, and sneezing. It contains 2 medications: desloratadine and pseudoephedrine. Desloratadine is an antihistamine and works by blocking a certain natural substance (histamine) that your body makes during an allergic reaction. Pseudoephedrine is a decongestant and works by narrowing the blood vessels in the nose to decrease swelling and congestion. This medication is not recommended for use in children younger than 12 years of age due to the large amount of pseudoephedrine in it."
753,clariscan,Gadoterate Meglumine,Drug uses not available
754,clarithromycin,Clarithromycin,"Clarithromycin is used to treat a wide variety of bacterial infections. This medication can also be used in combination with anti-ulcer medications to treat certain types of stomach ulcers. It may also be used to prevent certain bacterial infections. Clarithromycin is known as a macrolide antibiotic. It works by stopping the growth of bacteria. This antibiotic treats only bacterial infections. It will not work for viral infections (such as common cold, flu). Using any antibiotic when it is not needed can cause it to not work for future infections."
755,clarithromycin er,Clarithromycin,"Clarithromycin is used to treat a wide variety of bacterial respiratory tract infections. Clarithromycin is known as a macrolide antibiotic. It works by stopping the growth of bacteria. This antibiotic treats only bacterial infections. It will not work for viral infections (such as common cold, flu). Using any antibiotic when it is not needed can cause it to not work for future infections."
756,clear b&ages,Adhesive Bandage,Drug uses not available
